dataset,tag,seed,run,accuracy,balanced_accuracy,macro_f1,auroc,auprc,loss,val_macro_f1,best_round,last_round,n_test
isic2019,fedadam_a0.5_K10_E2_eta0.0001,42,isic2019_fedadam_a0.5_K10_E2_eta0.0001_s42,0.632991318074191,0.46707465492353667,0.4090685738619713,0.8841357191682369,0.48216304734664955,1.1393725872039795,0.4610659495826967,47,50,2534
isic2019,fedadam_a0.5_K10_E2_eta0.001,42,isic2019_fedadam_a0.5_K10_E2_eta0.001_s42,0.7056037884767167,0.5088795886881169,0.5043270024371715,0.9075807872432629,0.5380772215741427,0.8598127961158752,0.544697942063634,43,50,2534
isic2019,fedadam_a0.5_K10_E2_eta0.001,43,isic2019_fedadam_a0.5_K10_E2_eta0.001_s43,0.6949486977111287,0.5181735786486484,0.5078951203508169,0.9148582720720415,0.5616147868086949,0.8508816957473755,0.5736380267782304,41,50,2534
isic2019,fedadam_a0.5_K10_E2_eta0.001,44,isic2019_fedadam_a0.5_K10_E2_eta0.001_s44,0.6961325966850829,0.5161892580360765,0.5035690323976094,0.9015739067823223,0.540952396751303,0.914331316947937,0.5701340481730348,49,50,2534
isic2019,fedadam_a0.5_K10_E2_eta1e-5,42,isic2019_fedadam_a0.5_K10_E2_eta1e-5_s42,0.26835043409629045,0.1830774098825061,0.1381677780448237,0.5954096770537922,0.18132450303049977,2.051363945007324,0.14600409280279922,44,50,2534
isic2019,fedavg_a0.1_K10_E2,42,isic2019_fedavg_a0.1_K10_E2_s42,0.5666929755327546,0.4703080598414958,0.43199151438762334,0.8576666160060528,0.4991302950660868,1.201751947402954,0.4504056576709866,47,50,2534
isic2019,fedavg_a0.1_K10_E2,43,isic2019_fedavg_a0.1_K10_E2_s43,0.6661404893449092,0.41895701178924993,0.43561335144824764,0.8814742675086535,0.48821196024044555,1.0008089542388916,0.4215795085468239,43,50,2534
isic2019,fedavg_a0.1_K10_E2,44,isic2019_fedavg_a0.1_K10_E2_s44,0.6779794790844514,0.4472324785421171,0.46561570259125173,0.8818057920463385,0.5177019960746955,1.0141911506652832,0.4717471193270598,27,50,2534
isic2019,fedavg_a0.5_K10_E10,42,isic2019_fedavg_a0.5_K10_E10_s42,0.7146803472770323,0.5098339252644922,0.4940784049546834,0.9057632079039859,0.54072759379565,0.989067018032074,0.5559409523262624,38,50,2534
isic2019,fedavg_a0.5_K10_E10,43,isic2019_fedavg_a0.5_K10_E10_s43,0.728492501973165,0.5286709738588135,0.5366150135684631,0.921753673582222,0.5738399389876628,0.8645131587982178,0.5686000239240234,15,50,2534
isic2019,fedavg_a0.5_K10_E10,44,isic2019_fedavg_a0.5_K10_E10_s44,0.7186266771902131,0.4793727856297714,0.48896735274493897,0.9149577873816344,0.544834687442924,1.028757095336914,0.5424104615985818,26,50,2534
isic2019,fedavg_a0.5_K10_E1,42,isic2019_fedavg_a0.5_K10_E1_s42,0.6933701657458563,0.5149319706523691,0.4928462224539913,0.9056718423567076,0.5326150609218835,0.8649592399597168,0.5455085545414402,34,50,2534
isic2019,fedavg_a0.5_K10_E1,43,isic2019_fedavg_a0.5_K10_E1_s43,0.7237569060773481,0.5555200525931371,0.5629814392374799,0.920961281503073,0.5875645848541751,0.7994035482406616,0.5722784017562326,44,50,2534
isic2019,fedavg_a0.5_K10_E1,44,isic2019_fedavg_a0.5_K10_E1_s44,0.7075769534333071,0.5024161615693293,0.5115856992578185,0.9128781272156208,0.5589534831422855,0.8350481986999512,0.5562732563907323,36,50,2534
isic2019,fedavg_a0.5_K10_E2_lr0.0002,42,isic2019_fedavg_a0.5_K10_E2_lr0.0002_s42,0.7087608524072613,0.5457267944943993,0.5290669397281734,0.908898189133266,0.5603536279139163,0.8557566404342651,0.5691995984011433,38,50,2534
isic2019,fedavg_a0.5_K10_E2_lr0.0002,43,isic2019_fedavg_a0.5_K10_E2_lr0.0002_s43,0.7150749802683505,0.5212397822595292,0.5296200304009389,0.9228552775955529,0.5735943456480646,0.8329871892929077,0.5857323069730542,28,50,2534
isic2019,fedavg_a0.5_K10_E2_lr0.0002,44,isic2019_fedavg_a0.5_K10_E2_lr0.0002_s44,0.7166535122336227,0.4905312073456708,0.5136183300219685,0.9149698767723964,0.5593175537786248,0.9060010313987732,0.5431658836984815,45,50,2534
isic2019,fedavg_a0.5_K10_E2_lr5e-5,42,isic2019_fedavg_a0.5_K10_E2_lr5e-5_s42,0.7162588792423047,0.4965278285656046,0.49739716446086446,0.9130295542474476,0.5443271469105706,0.8431932330131531,0.5500530642995556,49,50,2534
isic2019,fedavg_a0.5_K10_E2,42,isic2019_fedavg_a0.5_K10_E2_s42,0.6933701657458563,0.5200822165806832,0.4897208224417029,0.9101682272734711,0.5451894900218606,0.8558063507080078,0.5531764122250109,34,50,2534
isic2019,fedavg_a0.5_K10_E2,43,isic2019_fedavg_a0.5_K10_E2_s43,0.7162588792423047,0.5134386215154413,0.5222007506552968,0.9205615511201011,0.5740171835118926,0.8407548069953918,0.5664732297761801,50,50,2534
isic2019,fedavg_a0.5_K10_E2,44,isic2019_fedavg_a0.5_K10_E2_s44,0.7241515390686661,0.4946223198772694,0.5075101748137769,0.9146514537153174,0.5440315589443454,0.8606313467025757,0.5931653758636044,45,50,2534
isic2019,fedavg_a0.5_K10_E5,42,isic2019_fedavg_a0.5_K10_E5_s42,0.7075769534333071,0.5184731872320123,0.5019370429948047,0.9069376949514508,0.5476999572808935,0.8554338812828064,0.548833993178935,34,50,2534
